Latitude,Longitude,NOC,Country Name,Code,1996 - Bronze,1996 - Silver,1996 - Gold,1996 - Medals,1996 - Pop,1996 - GDP,1996 - Percentage invested,2000 - Bronze,2000 - Silver,2000 - Gold,2000 - Medals,2000 - Pop,2000 - GDP,2000 - Percentage invested,2004 - Bronze,2004 - Silver,2004 - Gold,2004 - Medals,2004 - Pop,2004 - GDP,2004 - Percentage invested,2008 - Bronze,2008 - Silver,2008 - Gold,2008 - Medals,2008 - Pop,2008 - GDP,2008 - Percentage invested,2012 - Bronze,2012 - Silver,2012 - Gold,2012 - Medals,2012 - Pop,2012 - GDP,2012 - Percentage invested,2016 - Bronze,2016 - Silver,2016 - Gold,2016 - Medals,2016 - Pop,2016 - GDP,2016 - Percentage invested
18.18,-77.4,JAM,,,10,1,2,13,,7393891921,,0,15,0,15,,9005064475,,5,1,4,10,,10174664854,,6,1,3,10,,13709401520,,6,6,6,18,,14807086556,,0,14,7,21,,14077096714,
31.2,36.5,JOR,Jordanie,JOR,0,0,0,0,,6927503526,,0,0,0,0,,8460789845,,0,0,0,0,,11411706629,,0,0,0,0,,22658715989,,0,0,0,0,,31634561690,,0,0,1,1,9813095.0,39892551127,0.0812040475334029
35.0,136.0,JPN,Japon,JPN,13,24,3,40,,4923391533852,,7,24,6,37,1.26925843E8,4968359075957,,39,16,13,68,,4893116005657,,13,15,17,45,,5106679115127,0.0958274333214986,28,32,5,65,,6272362996105,0.0104061183500148,25,12,14,51,,5003677627544,0.013305420668427001
48.0,68.0,KAZ,Kazakhstan,KAZ,4,3,2,9,1.5577894E7,21035357937,,1,3,3,7,1.4883626E7,18291990662,,3,3,0,6,1.5012985E7,43151647003,,7,3,1,11,1.5674E7,133441648852,,6,1,6,13,1.6791425E7,207998568866,0.024955523774092603,8,4,3,15,,137278320084,0.0403573674683715
0.1,38.0,KEN,Kenya,,1,4,1,6,2.8186224E7,12045865396,,1,4,1,6,3.128505E7,12705350098,,1,3,1,5,3.4834606E7,16095337094,,5,3,5,13,3.8773277E7,35895153328,,4,3,2,9,4.3178141E7,56396704672,,2,6,3,11,,74815144164,
41.0,75.0,KGZ,Kirghizistan,KGZ,0,0,0,0,,1827570586,,1,0,0,1,,1369688498,,0,0,0,0,,2211534585,,1,1,0,2,,5139958909,,0,0,0,0,,6605142884,,0,0,0,0,6000000.0,6813095379,0.0185963044201178
36.0,128.0,KOR,Corée du Sud,,5,41,10,56,4.5524681E7,610167053824,,30,17,9,56,4.7008111E7,576179387820,,8,24,12,44,4.8039415E7,793175561887,,21,4,37,62,4.8948698E7,1047339010225,,26,10,13,49,5.0004441E7,1278046536287,,11,2,9,22,5.127E7,1499679823910,
42.55,20.833333333,KOS,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,1,1,,,
23.716667,44.116667,KSA,Arabie saoudite,,0,0,0,0,1.884835E7,,,1,1,0,2,2.0144584E7,,,0,0,0,0,2.3839231E7,,,0,0,0,0,2.6366358E7,,,3,0,0,3,2.8287855E7,,,0,0,0,0,,,
57.0,25.0,LAT,,,0,0,0,0,,,,1,1,1,3,,,,0,4,0,4,,,,1,1,1,3,,,,2,0,1,3,,,,0,0,0,0,,,
55.2,24.0,LTU,Lituanie,LTU,8,0,1,9,3615212.0,8382519637,,11,0,2,13,3512074.0,11524776867,0.0796620579115299,0,1,1,2,3398929.0,22627507452,0.015748338337074695,3,0,0,3,3212605.0,47797551588,0.018398958971218602,2,0,3,5,3003641.0,42927454291,0.014610508168164199,3,2,0,5,2888558.0,43047309306,0.018238686473096802
32.0,-6.0,MAR,Maroc,,1,0,1,2,2.723715E7,43161571528,,3,1,0,4,2.8710123E7,43017455402,,0,2,0,2,2.985582E7,66114145451,,0,2,0,2,3.0955151E7,101822906949,,0,0,1,1,3.2521143E7,106937392311,,1,0,0,1,,111572947005,
3.7805111,102.314361666,MAS,Malaisie,,1,2,0,3,2.1259831E7,,,0,0,0,0,2.3420751E7,,,0,0,0,0,2.5365089E7,,,0,1,0,1,2.7302348E7,,,1,1,0,2,2.9239927E7,,,1,5,0,6,,,
23.0,-102.0,MEX,Mexique,,1,0,0,1,9.7201533E7,432157945024,,3,2,1,6,1.03873607E8,742061329643,,0,3,0,3,1.0938155E8,819459227375,,1,0,2,3,1.14968039E8,1161553459895,,3,4,15,22,1.20847449E8,1255110424742,,2,2,1,5,,1112233497399,
46.0,105.0,MGL,Mongolie,MNG,1,0,0,1,2316598.0,,,0,0,0,0,2397473.0,,,0,0,1,1,2496248.0,,,0,2,1,3,2632834.0,,,0,2,0,2,2796484.0,,,1,1,0,2,,,0.0661554011570584
41.65,21.716667,MKD,Macédoine du Nord,,0,0,0,0,1975207.0,4642021256,,0,1,0,1,2052129.0,3772859034,,0,0,0,0,2085728.0,5682784472,,0,0,0,0,2098769.0,9909552435,,0,0,0,0,2105575.0,9745261301,,0,0,0,0,,10672467073,
42.766667,19.216667,MNE,Monténégro,,0,0,0,0,,,,0,0,0,0,,984293044,,0,0,0,0,613353.0,2073234418,,0,0,0,0,616969.0,4545674528,,1,8,2,11,620601.0,4087526242,,0,0,0,0,622303.0,4376930578,
-19.0,35.0,MOZ,Mozambique,MOZ,1,0,0,1,1.6463426E7,4030146135,,0,0,1,1,1.8275618E7,5930685215,,0,0,0,0,2.0438827E7,7937255565,,0,0,0,0,2.2762525E7,12920340965,,0,0,0,0,2.5203395E7,16688114144,,0,0,0,0,,12069051237,0.0511012326259263
-20.2,57.5,MRI,Maurice,,0,0,0,0,1133996.0,,,0,0,0,0,1186873.0,,,0,0,0,0,1221003.0,,,1,0,0,1,1244121.0,,,0,0,0,0,1255882.0,,,0,0,0,0,,,
-23.0,17.0,NAM,Namibie,NAM,0,1,0,1,1705309.0,3989163197,,0,0,0,0,1897953.0,3922232165,,0,0,0,0,2003320.0,6609205995,,0,0,0,0,2110791.0,8607431497,0.0359397506436933,0,0,0,0,2259393.0,13042053592,0.0369431919021573,0,0,0,0,,10722018732,0.024673889845550002
52.316666666,5.55,NED,Pays-Bas,NLD,22,5,28,55,,,0.046659412404787805,19,24,18,61,,,0.0478089941084983,21,35,5,61,,,0.0545451797326965,5,17,32,54,,,0.05750944842227571,16,24,17,57,,,0.0550258359547051,14,17,7,38,1.7E7,,0.0524044346123385
9.0,8.0,NGR,Nigeria,,1,3,15,19,1.1116621E8,,,1,1,5,7,1.22876727E8,,,7,1,0,8,1.3599925E8,,,6,9,2,17,1.5120808E8,,,0,0,0,0,1.68833776E8,,,12,1,1,14,,,
17.0,10.0,NIG,Niger,,0,0,0,0,9499605.0,,,0,0,0,0,1.0989815E7,,,0,0,0,0,1.2708897E7,,,0,0,0,0,1.4737895E7,,,0,0,0,0,1.7138707E7,,,0,1,0,1,,,
65.0,11.0,NOR,Norvège,NOR,12,3,3,18,4381336.0,163520109151,0.026994148897336,19,2,16,37,4490967.0,171457201936,0.0227813074005455,2,0,3,5,4591910.0,265268662473,0.0281747955817357,2,6,13,21,4768212.0,464917553191,0.0266463472537329,1,1,15,17,5018573.0,512777309841,0.029901950431818397,18,0,1,19,5213985.0,370956547619,0.04179670639129529
-41.2,174.0,NZL,Nouvelle-Zélande,,4,1,1,6,3762300.0,70140835299,,2,0,1,3,3873100.0,52623281957,,0,1,2,3,4114300.0,103905210084,,8,1,4,13,4280300.0,133131369930,,11,3,10,24,4425900.0,176206659723,,6,17,5,28,4767600.0,188838342528,
-23.5,-58.0,PAR,Paraguay,,0,0,0,0,4911701.0,,,0,0,0,0,5350253.0,,,0,13,1,14,5793330.0,,,0,0,0,0,6236005.0,,,0,0,0,0,6687361.0,,,0,0,0,0,,,
12.0,123.0,PHI,Philippines,PHL,0,0,0,0,7.1437381E7,,,0,0,0,0,7.6506928E7,,,0,0,0,0,8.4596249E7,,,0,0,0,0,9.0297115E7,,,0,0,0,0,9.6017322E7,,,0,1,0,1,,,0.00354868123207569
52.0,19.0,POL,Pologne,POL,6,6,7,19,3.8639E7,160193242090,,6,8,5,19,3.8644E7,172220451787,,5,0,4,9,3.8173835E7,255107252159,0.0243598832483202,2,10,4,16,3.8135876E7,533599779516,0.040550080944589006,7,1,2,10,3.8533299E7,495230523666,0.0476715404254564,7,2,2,11,3.8432992E7,470024559642,0.033923180995969505
38.7,-9.183333333,POR,Portugal,PRT,2,0,1,3,1.0063945E7,,0.0444689862175098,1,1,0,2,1.0289898E7,,0.047169128096904905,1,2,0,3,1.0483861E7,,0.0387129848326813,0,1,0,1,1.0558177E7,,0.03997173690193571,0,1,1,2,1.0514844E7,,0.0340658341632223,1,0,0,1,,,0.026394526671163803
